BOOK TITLE,F21 CRAIN ALPHARR,F21 CRAIN BODY,F21 CRAIN SWALLOW,S20 CRAIN ALPHARR,S20 CRAIN BODY,S20 CRAIN SWALLOW,S18 CRAIN ALPHARR,S18 CRAIN BODY,S18 CRAIN SWALLOW,F21 MORPH AS ARE,F21 MORPH MIGHT BE,F21 MORPH SHOULD BE,S20 MORPH AS ARE,S20 MORPH MIGHT BE,S20 MORPH SHOULD BE,S18 MORPH AS ARE,S18 MORPH MIGHT BE,S18 MORPH SHOULD BE,Disability,Diverse family structure,LGBTQIA+,Mental illness,None,Racial / Ethnic identity,Religious identity,Socioeconomic status
Australian alphabet,100,0,0,0,0,0,0,0,0,80.8,11.5,7.7,0,0,0,0,0,0,0,0,0,0,95.7,4.3,0,0
Azbuka (Alphabet),96.9,0,3.1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,42.9,51.4,2.9,2.9
Azbuka krasnoarmeitsa (The ABC of the Re,100,0,0,0,0,0,0,0,0,8.7,82.6,8.7,0,0,0,0,0,0,3.4,0,0,0,13.8,27.6,0,55.2
Babes of the Empire from A to Z,100,0,0,93.2,6.8,0,86.7,13.3,0,79.2,4.2,16.7,83.1,8.5,8.5,63.6,16.4,20,0,0,0,0,0,42,28,30
Baby's jingly journey through Alphabet L,88.9,7.4,3.7,91.4,6.9,1.7,90.5,9.5,0,54.3,40,5.7,59.6,28.1,12.3,49.3,24.7,26,0,3.1,0,0,28.1,28.1,9.4,31.3
"Bandit Bunny Alphabet and other stories,",91.7,8.3,0,93,3.5,3.5,87.1,9.7,3.2,8.3,91.7,0,10.2,88.1,1.7,1.7,93.3,5,0,3.7,0,3.7,59.3,0,3.7,29.6
Barnum and Jumbo's ABC,100,0,0,98.2,1.8,0,96.8,3.2,0,39.4,54.5,6.1,67.7,30.6,1.6,66.7,30.2,3.2,15,2.5,0,0,17.5,47.5,5,12.5
"Bizarre Company, A",87,13,0,92.7,5.5,1.8,72.5,27.5,0,40.9,59.1,0,65,35,0,60.6,34.8,4.5,3.7,14.8,7.4,3.7,37,0,3.7,29.6
Blinky Bill's ABC book,100,0,0,93.1,6.9,0,0,0,0,13.8,82.8,3.4,17.7,82.3,0,0,0,0,0,14.3,0,7.1,67.9,0,0,10.7
Bold carnivore : an alphabet of predator,100,0,0,87.3,3.2,9.5,0,0,0,100,0,0,94.8,3.4,1.7,0,0,0,0,0,0,0,100,0,0,0
Bowden's ABC Book of India,91.7,8.3,0,98.2,0,1.8,96.8,3.2,0,100,0,0,86.2,1.7,12.1,93.2,1.7,5.1,0,0,0,0,0,43.2,36.4,20.5
Bruno Munari's ABC,86.4,0,13.6,87.3,1.6,11.1,0,0,0,95.2,4.8,0,93.1,5.2,1.7,0,0,0,0,0,0,0,100,0,0,0
"Burma Alphabet in English & Burmese, The",96.2,3.8,0,100,0,0,0,0,0,69,10.3,20.7,84.7,1.7,13.6,0,0,0,0,2.8,0,0,27.8,30.6,8.3,30.6
C is for curious : an ABC of feelings,92.3,3.8,3.8,79,21,0,0,0,0,4,96,0,25,73.4,1.6,0,0,0,0,0,0,13.3,66.7,13.3,3.3,3.3
"Calypso alphabet, The",84.6,11.5,3.8,91.5,5.1,3.4,0,0,0,52.9,32.4,14.7,81,15.9,3.2,0,0,0,0,14,0,0,0,53.5,16.3,16.3
"Canadian child's ABC, A",92.3,0,7.7,98.1,0,1.9,78.9,8.5,12.7,95.8,0,4.2,85.5,3.6,10.9,91.8,0,8.2,0,2.2,0,0,2.2,41.3,30.4,23.9
"child's alphabet, The : emblematically d",96.2,0,3.8,100,0,0,92.6,7.4,0,57.1,28.6,14.3,34.5,15.5,50,53.1,14.1,32.8,0,0,0,3.2,19.4,0,58.1,19.4
City country ABC,77.4,0,22.6,94.5,0,5.5,0,0,0,96.2,0,3.8,89.3,1.8,8.9,0,0,0,0,15.6,0,0,46.9,0,0,37.5
Co okręt wiezie,80.6,0,19.4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
D is for Doufu : an alphabet book of Chi,100,0,0,96.2,1.9,1.9,0,0,0,87.5,0,12.5,54.3,20,25.7,0,0,0,0,4.5,0,0,2.3,45.5,29.5,18.2
Denslow's ABC Book,100,0,0,100,0,0,95.2,0,4.8,23.3,76.7,0,17.7,75.8,6.5,35.7,64.3,0,0,12.9,0,0,32.3,48.4,3.2,3.2
Eating the alphabet : fruits and vegetab,25,3.6,71.4,14.1,0,85.9,0,0,0,95.7,0,4.3,98.1,1.9,0,0,0,0,0,0,0,0,100,0,0,0
Edward Lear's ABC,89.3,0,10.7,100,0,0,93.8,0,6.3,96,4,0,85.7,1.8,12.5,82.5,7.9,9.5,4,0,0,0,80,8,0,8
Father Tuck's Noah's Ark ABC,95.7,4.3,0,96.6,3.4,0,96.8,1.6,1.6,77.8,22.2,0,46.7,41.3,12,50.6,40.7,8.6,0,4,4,0,72,0,20,0
Fotografisch abc boek,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,90.9,0,0,9.1
Fuku-chan ABC (Fuku-chan's ABC),84.6,3.8,11.5,0,0,0,0,0,0,74.1,25.9,0,0,0,0,0,0,0,0,3.6,0,0,10.7,60.7,10.7,14.3
Gadens A.B.C.,95.2,0,4.8,0,0,0,0,0,0,65.2,13,21.7,0,0,0,0,0,0,4.5,0,0,0,54.5,9.1,0,31.8
Gathering the sun : an A B C in Spanish ,79.3,0,20.7,79.7,1.6,18.8,0,0,0,84,0,16,62.1,0,37.9,0,0,0,0,14.8,0,0,1.9,38.9,14.8,29.6
"Goldfish at School; or, The Alphabet of ",88.5,3.8,7.7,89.3,0,10.7,80.8,0,19.2,84.6,11.5,3.8,90.7,1.9,7.4,94.9,5.1,0,0,0,0,0,87.5,4.2,0,8.3
Goop Tales,45.5,36.4,18.2,71.4,26.8,1.8,68.5,30.1,1.4,14.8,66.7,18.5,6.9,79.3,13.8,7.8,70.3,21.9,4.3,39.1,0,0,39.1,0,0,17.4
Grandmama Goodsoul's ABC of eatables,16,0,84,15.2,0,84.8,19.5,0,80.5,75,7.1,17.9,84.6,3.1,12.3,91.4,3.4,5.2,3.8,0,0,3.8,84.6,0,0,7.7
Grandmamma Easy's Illuminated scriptural,91.7,8.3,0,89.3,10.7,0,72.5,26.3,1.3,50,34.6,15.4,53.2,35.5,11.3,45.3,25.3,29.3,0,0,0,0,0,0,78.6,21.4
Grandpapa Easy's New scripture historica,100,0,0,88.5,7.7,3.8,95.2,3.2,1.6,91.7,4.2,4.2,71.7,24.5,3.8,61.4,22.9,15.7,0,3.6,0,0,17.9,7.1,64.3,7.1
Green's alphabetical panorama,100,0,0,96.1,2,2,89.5,8.8,1.8,88.9,3.7,7.4,96.2,3.8,0,94.7,0,5.3,4,0,4,0,80,0,0,12
Halloween A B C,82.1,7.1,10.7,96.3,0,3.7,0,0,0,3.8,96.2,0,19.4,80.6,0,0,0,0,0,0,0,0,88.9,0,11.1,0
Handsigns: a sign language alphabet,47.2,52.8,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,92,0,0,0,8,0,0,0
Handtalk,14.3,85.7,0,7.5,92.5,0,10,90,0,100,0,0,98,2,0,80,16.7,3.3,85.7,0,0,0,0,10.7,0,3.6
Harold's ABC,35.1,51.4,13.5,82,11.5,6.6,0,0,0,10.7,85.7,3.6,39.4,57.6,3,0,0,0,0,3.8,0,0,73.1,0,0,23.1
Idalia's project ABC = Proyecto ABC : an,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,17.4,0,0,0,43.5,0,39.1
Illustrated alphabet of nouns,95.5,4.5,0,96.1,3.9,0,84.2,14,1.8,83.3,16.7,0,74.1,20.7,5.2,63.8,8.7,27.5,0,2.4,0,2.4,2.4,24.4,17.1,51.2
"Invited alphabet, or, Address of A to B,",17.4,82.6,0,18.6,71.2,10.2,27.4,72.6,0,73.1,3.8,23.1,75.5,15.1,9.4,54.7,24.5,20.8,26.9,0,0,0,57.7,0,7.7,7.7
Jambo means hello : Swahili alphabet boo,95.8,0,4.2,98,0,2,0,0,0,88.5,0,11.5,94.4,0,5.6,0,0,0,0,21.9,0,0,0,34.4,21.9,21.9
L'alfabeto di mago Abicì,96.2,3.8,0,0,0,0,0,0,0,31,69,0,0,0,0,0,0,0,4,0,0,0,20,76,0,0
